TS 推送
HLZ 环路站
DZGL 电站隔离
BPBJDB 备品备件调拨
XXLB 信息量表
FSGZ 附属故障
PCPC 普查普查
DYZT 对应状态
WSPB 网省配变
BBDX 变表单线
DZFX 电站风险
JS 减少
GK 概况
ZBGL 值班关联
KBXM 库表项目
GMTZ 规模投资
ZHZX 综合专项
BJ 标记
BX 表箱
Z 总
CY 成因
TJGY 统计高压
LSZ 历史再
XMSJ 项目事件
FWLS 范围螺栓
SDSD 输电输电
JJBBD 交接班变电
DHP 动火票
ZBCY 主表常用
JZGC 建筑工程
XQJL 详情记录
RZSQ 日志申请
YX 以下
DLCZ 调令操作
QKBLX 情况表立项
TMGG 条目公共
PDÈZ 配电二种
GZGC 工作工程
JLBMX 记录表母线
SYQS 试验清扫
YQYB 仪器仪表
JHCG 计划采购
SBZD 设备自动
P 跑
RWHF 任务恢复
DLQ 断路器
GW 岗位
XTBD 系统变电
SG 施工
MB 模板
BJML 备件目录
99 99
FWDYZ 范围第一种
ZLJL 指令记录
SBSQ 设备申请
PJPD 评价判断
： ：
GB 广播
SYSD 使用水电
DBMB 单表模板
DYPT 对应平台
DYPZ 定义配置
PJJC 评价检查
SJGL 数据关联
KGGSB 开关柜数表
JHZY 计划作业
RYDL 人员电流
BGJG 报告结果
)SG )施工
XL 线路
GLJL 功率记录
DR 电容
TQBC 台区补偿
SVC SVC
DY 单元
ZSDX 指示单线
DJYH 电机用户
YC 一措
XN 虚拟
JHCS 计划初设
FÀXTJC 方案系统集成
JLBWB 记录表文本
DYBYQ 低压变压器
DG 电杆
YP 营配
)GZ )果子
-GW -岗位
YJ 预警
YWLC 业务流程
KB 库别
KN 跨年
JL 距离
QXGL 缺陷关联
/ /
PMSOMS pmsoms
DBÀL 单表案例
BWXM 部位项目
HLRDQ 环路熔断器
WB 文本
5 5
ZGC 主工程
GWZZ 岗位职责
TJDY 统计电压
BW 部位
SM 生命
KY 可研
CBGC 池表工程
TJDL 统计电缆
-WW -问问
XQYJ 详情一级
ID ID
ZBXX 主表形象
CXDR 创新单日
DLDX 电缆导线
ZYBD 资源变电
JGXM 技改项目
DLBD 电缆变电
ZZKG 装置开关
CJ 创建
KZXT 控制系统
SX 树形
W 外
GH 规划
JRDFÀ 接入点方案
J、 及、
YDCB 移动车表
ZCBD 资产变电
KXKX 馈线馈线
DDDDZY 带电带电作业
GXJB 工序基本
TDDL 停电电力
BM 编码
XJXM 新建项目
JLBBD 记录表变电
DYWG 低压无功
DLJT 电缆接头
SBZY 设备作业
TJJLB 统计记录表
JĀZ 及安自
TFYDL 停复役电力
TQZJ 台区中间
SBZT 设备状态
QXGG 缺陷公共
GZJL 工作记录
BSPY 标示牌应
GMPW 规模配网
BJZT 布局专题
DZP 电站票
PJGG 评价公共
BJFX 备件风险
BLZL 避雷直流
FXJ 发信机
DD 地点
QY 区域
LG 零购
DT 单体
DLZ 电缆站
LWH 裂纹化
CFCL 拆分材料
TJGT 统计杆塔
QYXT 区域系统
SBKK 设备可靠
WBJG 网表间隔
ZXSQ 最小申请
ZZJD 装置接地
LJ 链接
)JB )基本
RQKG 容器开关
DÉDB 定额调拨
LH 轮换
DNB 电能表
JS 即时
LQ 漏气
ZBXM 主表项目
Z 自
GHGK 更换工况
DÉBÈBCL 定额表二表材料
GZDDZY 工作带电作业
GZZL 工作指令
KG 开关
SF 三方
JC 决策
JXTDM 接线图代码
GZQX 工作抢修
RZ 日志
DDQJ 地点器具
QKB 情况表
GMXZ 规模新增
GZYH 工作用户
QXXM 抢修项目
GZPD 改造配电
CY 采用
JLBTX 记录表特巡
GS 公式
SJSJ 数据事件
FJ 废旧
SYYQ 使用仪器
DZZT 电站专题
FSDZ 方式定值
JLBSB 记录表数表
RZQK 日志情况
ZQ 准确
JXXQ 检修详情
FH 负荷
SBOBJID 设备objid
YD 异动
ZB 值班
RQ 日期
QM 签名
RZOMS 日志OMS
SZKK 设置可靠
BHZL 保护直流
QWB 全文本
YDZT 月度状态
DBZY 单表专业
BHRW 保护任务
DYRZTDTD 电压日志图档图档
DDCG 订单采购
)KG )开关
ZX 在线
DBLX 单表类型
DH 动火
TZJL 跳闸记录
CZZL 操作指令
DLHB 电缆合并
ZYY 重要由
JC 交叉
KXDB 馈线对比
CL 处理
BLDYZ 保留第一种
PJDZ 评价电站
ZWGL 主网关联
B 报
JYZGT 绝缘子杆塔
BZBZ 标准标准
ZJĀQ 支架安全
BG 变更
RDQ 熔断器
GLSS 光缆设施
PG 评估
XS 型式
SZT 式专题
GMD 规模大
ZXM 子项目
ZXGC 专项工程
BGXX 变更信息
MFWB 密封文本
ZBDY 指标电压
ZYWB 作业文本
FC 分层
6.1DYZ 6.1第一种
YJ 应急
JJ 基建
YWB 运维班
QX 气象
CY 成员
D 单
QC 清查
WL 物力
LQXT 冷却系统
JHGL 计划关联
ZQB 周期表
SJX 数据项
-SQ -申请
WD 网点
DXMX 大修母线
QYZZ 区域资质
BTYH 不停用户
DBGZ 单表规则
SDZT 输电状态
DHĀQCS 动火安全措施
10KV 10kV
SBDL 设备电力
TJYX 统计预想
JSHZB 计算汇总表
DY 电源
BDZ 变电站
HDOMS 核对OMS
XTXJ 系统相机
XH 型号
SDSJ 输电事件
JCZW 交叉站外
SBX 设备线
HZJL 回执记录
DQZH 电器组合
TB 填报
KGDX 开关单线
GMLB 规模列表
HLZB 回路主表
ZBDLSS 子表电力设施
JJ 交接
WL 外力
K 库
SB 上报
ZH 指挥
FWZH 防舞组合
RWSJJH 任务数据交换
DYDY 对应对应
FSYH 方式用户
JT 简图
BYQRDQ 变压器熔断器
JLBB 记录表不
YWDL 运维地理
ZB 指标
JXZ 接线站
JKL 接口令
GTJL 贯通记录
QXJL 抢修记录
MPZX 铭牌执行
BSHJ 辨识环节
XX- 信息-
D 队
NRWB 内容文本
WDOMS 维度OMS
GXCX 工序成效
DBDL 点表电缆
SBWH 设备维护
BXM 包项目
CQ 穿墙
TJ 统计
KBP 库备品
JHDZ 计划导则
JCJG 基础结果
R 日
RBFX 日报防汛
XMDÀ 项目档案
QT 启停
)FS )方式
EXCEL excel
LSJ 量事件
PDWXZ 配电网现状
）BD ）变电
XLSL 效率数量
XJ 续建
TJYH 统计用户
YX 由线
BHZZ 保护装置
JGBD 技改变电
FZB 发展部
DGDXDXB 大纲导线地线表
GC 工程
ZB 主表
CG 成果
QKZH 情况组合
HLDL 环流电缆
BPQ 变频器
DYQSJB 调压器数据表
FW 防污
KC 勘察
RHY 润滑油
GGZB 公共准备
GX 共享
KZTY 扩展通用
BS 布式
ZBZ 指标值
SG 三个
ZBGX 指标关系
JLT 记录台
WDWJ 文档文件
HL 回路
JDZZ 接地装置
TYPZ 停役配置
JK 接口
XTDL 系统电缆
10KV/ 10KV/
JLBHXY 记录表护线员
TGY 特高压
JGCZ 机构操作
DXSQ 电系申请
SJ- 时间-
ZYSX 注意事项
ZRC 自然村
( (
LXPZ 类型配置
ZDQ 值定期
JLBCT 记录表成图
ZZSX 装置水系
TBCBHS 同步成本核算
DC 多次
TH 退回
JT 接头
SC 生产
JLHG 计量互感
BD 波动
KF 开发
WZ 物资
N 年
FFTQ 防风土墙
SBGG 设备公共
FJ 附件
TJSW 统计实物
PDXS 票地线室
[ [
CC 拆除
PFP 票分票
FN 阀内
MSXZ 埋设行政
GCXM 工程项目
YHB 与合并
TJRL 统计容量
ZBFL 指标分类
PGC 票工程
KZ 开展
ZT 专题
JSCZBZ 计算操作步骤
）- ）-
FLHZB 分类回执表
DZYS 地址映射
HCQ 缓冲区
YJDDY 依据低电压
JCSJX 基础数据项
248 248
LB 类别
SBYT 设备一体
XXGC 信息过程
SK 三跨
YLBJHB 一览表计划表
JM JM
ĀZHZB 安装汇总表
HZBQTFY 汇总表其他费用
FJDDY 分界点调压
C 层
ZCZF 资产站房
CSSB 参数数表
DY 镀银
SMZQ 生命周期
JD 监督
Z 重
YC 一次
YT 用途
ZLB 组立表
ZCHJ 资产环境
XSZY 型式作业
GCSW 工程实物
YY 原因
QTSQ 其它申请
GD 归档
BHBP 班后备品
TGYGL 特高压关联
TJZD 统计最大
ZSHJ 指示换机
G 跟
SCCJ 生产厂家
CWZC 财务资产
LL 联络
DB 对比
DTQ 挡土墙
DB 地表
DT 电台
ZLSJ 质量事件
HGQDL 互感器断路
MXCB 明细储备
BZLR 标志录入
SYZT 索引专题
YC 异常
GNWZGNWZ 功能位置功能位置
ZL 质量
）ZB ）主表
FXND 分析年度
JLBGL 记录表管理
PCLSJL 普查历史记录
PMS PMS
DLFW 电缆房屋
SJBTS 数据表投诉
YD 月度
